4,"t","Honey: Released February 27, 2009, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
4,"t","Reliability of Honey Estimates 1/"
4,"h","","","","","","","","",""
4,"h","","","","","Difference Between","Difference Between","Difference Between","Number of Years","Number of Years"
4,"h","","Root","90 Percent","90 Percent","First and Latest","First and Latest","First and Latest","",""
4,"h","","Mean","Confidence","Confidence","Estimates","Estimates","Estimates","First","First"
4,"h","Item","Square","Level","Level","","","","Above","Below"
4,"h","","Error","","","Average","Smallest","Largest","Latest","Latest"
4,"h","","","","","","","","",""
4,"u","","Percent","Percent","1,000","1,000","1,000","1,000","Number","Number"
4,"d","Honey",,,,,,,,
4,"d","Producing",0.9,1.7,38,16,0,50,2,7
4,"d","Colonies",,,,,,,,
4,"d","",,,,,,,,
4,"d","Honey",,,,,,,,
4,"d","Production",0.4,0.8,1215,514,0,2182,3,6
4,"c",""
4,"f","1/ Based on data for the past 10 years."
